region_id,province_id,province_full,province_short1,province_short2,lat,lng
5,110000,北京市,京,北京,39.904987,116.405289
5,120000,天津市,津,天津,39.125595,117.190186
5,130000,河北省,冀,河北,38.045475,114.502464
5,140000,山西省,晋,山西,37.857014,112.549248
4,150000,内蒙古自治区,蒙,内蒙古,40.81831,111.670799
4,210000,辽宁省,辽,辽宁,41.796768,123.429092
4,220000,吉林省,吉,吉林,43.886841,125.324501
4,230000,黑龙江省,黑,黑龙江,45.756966,126.642464
1,310000,上海市,沪,上海,31.231707,121.472641
1,320000,江苏省,苏,江苏,32.041546,118.76741
1,330000,浙江省,浙,浙江,30.287458,120.15358
1,340000,安徽省,皖,安徽,31.861191,117.283043
1,350000,福建省,闽,福建,26.075302,119.306236
1,360000,江西省,赣,江西,28.676493,115.892151
4,370000,山东省,鲁,山东,36.675808,117.000923
5,410000,河南省,豫,河南,34.757977,113.665413
5,420000,湖北省,鄂,湖北,30.584354,114.298569
3,430000,湖南省,湘,湖南,28.19409,112.982277
3,440000,广东省,粤,广东,23.125177,113.28064
3,450000,广西壮族自治区,桂,广西,22.82402,108.320007
3,460000,海南省,琼,海南,20.031971,110.331192
2,500000,重庆市,渝,重庆,29.533155,106.504959
2,510000,四川省,川,四川,30.659462,104.065735
3,520000,贵州省,黔,贵州,26.578342,106.713478
3,530000,云南省,滇,云南,25.040609,102.71225
2,540000,西藏自治区,藏,西藏,29.66036,91.13221
5,610000,陕西省,陕,陕西,34.263161,108.948021
2,620000,甘肃省,甘,甘肃,36.058041,103.823555
2,630000,青海省,青,青海,36.623177,101.778915
2,640000,宁夏回族自治区,宁,宁夏,38.46637,106.278175
2,650000,新疆维吾尔自治区,新,新疆,43.792816,87.617729
6,710000,台湾省,台,台湾,25.041618,121.501618
6,810000,香港特别行政区,港,香港,22.320047,114.173355
6,820000,澳门特别行政区,澳,澳门,22.198952,113.549088
